Name,Adm.,Population Census (C) 1985-10-15,Population Census (C) 1993-10-24,Population Census (Ca) 2005-06-30,Population Census (Ca) 2018-06-30,Population Projection (P) 2023-06-30,Area
Acacías,MET,17484.0,28007.0,46451,67906,72300,1149
Aguachica,CES,39860.0,50001.0,70570,95851,109800,1085
Aguazul,CAS,,8674.0,21209,26517,30000,454
Agustín Codazzi,CES,29787.0,32854.0,39075,48157,54500,1174
Albania,LGU,,,7287,15783,20800,822
Andes,ANT,14563.0,15603.0,19292,20250,23600,207
Anserma,CAL,17727.0,20379.0,20522,20284,22200,213
Apartadó,ANT,29847.0,56330.0,114154,98454,110700,591
Aracataca,MAG,11836.0,15845.0,20312,23623,26200,304
Arauca,ARA,,38916.0,58883,74195,85300,2139
Arjona,BOL,30830.0,33886.0,47047,55134,58500,705
Armenia,QUI,192409.0,216467.0,278236,287245,300200,3294
Ayapel,COR,13524.0,15942.0,21830,27626,28300,1405
Baranoa,ATL,28033.0,32504.0,42686,51730,57600,522
Barbosa,ANT,,13379.0,18765,22174,26300,279
Barbosa,SAN,12878.0,14293.0,20953,23249,25100,359
Barrancabermeja,SAN,141516.0,144769.0,176447,177272,188200,3240
Barrancas,LGU,,11333.0,11265,15818,21100,693
Barranquilla,ATL,917486.0,990547.0,1137424,1205284,1322900,10136
Bello,ANT,211203.0,257707.0,359552,495483,546900,2207
Bogotá (Santa Fe de Bogotá),DE,4176769.0,4931796.0,6692752,7387400,7876000,41607
Bosconia,CES,15809.0,20242.0,28403,37676,43100,965
Bucaramanga,SAN,351687.0,410065.0,526137,570752,605000,5531
Buenaventura,VAL,165829.0,194727.0,293102,235064,249700,3300
Buga (Guadalajara de Buga),VAL,85772.0,94840.0,98426,110905,114100,1153
Caicedonia,VAL,22713.0,23681.0,23780,23840,24600,284
Cajicá,CUN,,15687.0,27391,54111,70500,582
Calarcá,QUI,40241.0,44047.0,57465,56505,59500,704
Caldas,ANT,37071.0,45251.0,52669,62987,70000,398
Cali (Santiago de Cali),VAL,1369331.0,1641498.0,2066856,2172527,2234400,14622
Campoalegre,HUI,16766.0,19329.0,24279,23787,25100,360
Campo de la Cruz,ATL,23868.0,18015.0,16189,19961,21500,340
Candelaria,VAL,14808.0,17235.0,19409,23579,26000,125
Carepa,ANT,,11834.0,30207,33009,38400,260
Cartagena (Cartagena de Indias),BOL,513986.0,616231.0,835127,876885,931500,8320
Cartago,VAL,95650.0,100946.0,120421,131641,138200,1910
Caucasia,ANT,24713.0,39770.0,70460,76772,86700,1696
Cereté,COR,26651.0,40411.0,49634,59224,62100,1933
Chaparral,TOL,19990.0,20789.0,25781,28615,31500,676
Chía,CUN,23909.0,41632.0,74689,105509,133900,1916
Chigorodó,ANT,15713.0,29856.0,50451,47046,52800,356
Chinchiná,CAL,34460.0,46512.0,45436,44570,47500,495
Chinú,COR,13675.0,15763.0,21806,20083,20600,359
Chiquinquirá,BOY,28337.0,34946.0,48376,49016,53200,638
Ciénaga,MAG,56164.0,66236.0,89331,104999,116700,986
Ciénaga de Oro,COR,14741.0,16740.0,21656,22469,22700,319
Circasia,QUI,11688.0,14414.0,20573,21025,22400,326
Copacabana,ANT,28124.0,39621.0,53289,62343,69300,762
Corozal,SUC,29947.0,32887.0,47005,51372,52900,481
Cota,CUN,,5071.0,10914,20462,26900,317
Cúcuta (San José de Cúcuta),NOR,383584.0,459640.0,588989,685445,777400,7390
Curumaní,CES,14111.0,15508.0,18514,26422,30000,526
