Nombre del país,Año Más Reciente,Valor Más Reciente
Antigua y Barbuda,2023,94298
Argentina,2023,46654581
Aruba,2023,106277
Bahamas,2023,412623
Barbados,2023,281995
Belice,2023,410825
Bolivia,2023,12388571
Brasil,2023,216422446
Chile,2023,19629590
Colombia,2023,52085168
Costa Rica,2023,5212173
Cuba,2023,11194449
Curacao,2023,147862
Dominica,2023,73040
Ecuador,2023,18190484
El Salvador,2023,6364943
Granada,2023,126183
Guatemala,2023,17602431
Guyana,2023,813834
Haití,2023,11724763
Honduras,2023,10593798
Isla de San Martín (parte francesa),2023,32077
Islas Caimán,2023,69310
Islas Turcas y Caicos,2023,46062
Islas Vírgenes (EE.UU.),2023,104917
Islas Vírgenes Británicas,2023,31538
Jamaica,2023,2825544
México,2023,128455567
Nicaragua,2023,7046310
Panamá,2023,4468087
Paraguay,2023,6861524
Perú,2023,34352719
Puerto Rico,2023,3205691
República Dominicana,2023,11332972
Saint Kitts y Nevis,2023,47755
San Vicente y las Granadinas,2023,103698
Santa Lucía,2023,180251
Sint Maarten (Dutch part),2023,41163
Suriname,2023,623236
Trinidad y Tobago,2023,1534937
Uruguay,2023,3423108
Venezuela,2023,28838499
Bermudas,2023,63489
Canadá,2023,40097761
Estados Unidos,2023,334914895
